"source_id","source_name","source_type","source_url","retrieved_at","license_status","access_method","mvp_role","private_required","is_synthetic_source","not_use_for","decision"
"local_jd_skill_matrix","Local JD Skill Matrix","local_structured_jd","/Users/liuzhenpeng/Documents/职业规划及个人/jd_research/jd_skill_matrix.csv","2026-06-15","local derived research artifact; source URLs must be preserved per JD row before public reuse","local CSV read","job_intelligence_seed","false","false","do not treat as official JD unless row URL is verified","selected"
"onet","O*NET Web Services","public_skill_taxonomy","https://services.onetcenter.org/reference/","2026-06-15","API has license agreement; commercial use allowed per reference page; requires registration/API key","REST GET JSON API","skill_normalization","false","false","do not treat taxonomy as current employer-specific demand","selected"
"usa_jobs","USAJOBS API","public_jd_api","https://developer.usajobs.gov/api-reference/","2026-06-15","API terms restrict resale/trading/derivative commercial dataset use; verify before redistribution","API key; search and historic announcement endpoints","official_public_jd_extension","false","false","do not package as commercial JD dataset","extension"
"sec_edgar","SEC EDGAR data.sec.gov","public_enterprise_documents","https://www.sec.gov/search-filings/edgar-application-programming-interfaces","2026-06-15","public SEC filings; respect fair access and User-Agent requirements","REST JSON and bulk ZIP","enterprise_document_mode","false","false","do not provide investment advice or real-time company claims","selected"
"chembl","ChEMBL","public_bioactivity_database","https://chembl.gitbook.io/chembl-interface-documentation/downloads","2026-06-15","CC BY-SA 3.0; release 36 July 2025; cite release DOI","SQLite/MySQL/PostgreSQL/SDF/FASTA downloads; web services","scientific_transfer_structured_activity","false","false","do not claim ChEMBL-scale ingestion or cross-assay efficacy","selected"
"pubchem","PubChem PUG REST","public_compound_metadata","https://www.ncbi.nlm.nih.gov/home/develop/api/","2026-06-15","NCBI APIs; source-submitter rights may vary; verify record-level use where needed","PUG REST and E-utilities integration","compound_entity_enrichment","false","false","do not treat assay annotations as clinical efficacy","selected"
"pmc_oa","PMC Open Access Subset","public_scientific_fulltext","https://pmc.ncbi.nlm.nih.gov/tools/openftlist/","2026-06-15","license varies per article; only use allowed OA retrieval services; prefer CC0/CC BY/CC BY-SA","PMC Cloud FTP OAI-PMH OA Web Service E-Utilities BioC","scientific_fulltext_evidence","false","false","do not mine all PMC or redistribute articles without license compliance","selected_with_license_filter"
"rcsb_pdb","RCSB PDB APIs","public_structure_metadata","https://www.rcsb.org/docs/programmatic-access/web-apis-overview","2026-06-15","core PDB archive is open; verify external annotations separately","Data API Search API REST GraphQL JSON","structure_evidence","false","false","do not infer in vivo effectiveness from a structure","selected"
"dailymed","DailyMed REST API","public_drug_label","https://dailymed.nlm.nih.gov/dailymed/webservices-help/v2/spls_api.cfm","2026-06-15","NLM public service; labels are in-use SPLs and not medical advice","REST API XML JSON and label downloads","drug_label_evidence","false","false","do not output medical advice or final FDA approval interpretation","selected"
"clinicaltrials","ClinicalTrials.gov API v2","public_trial_registry","https://clinicaltrials.gov/data-api/api","2026-06-15","public registry data; treat as sponsor/registry-reported not peer-reviewed efficacy","REST API v2 OpenAPI JSON","trial_registry_evidence","false","false","do not claim peer-reviewed clinical efficacy","selected_as_registry_evidence"
"synthetic_enterprise_docs","Synthetic Enterprise SOP FAQ Meeting Notes","synthetic_enterprise_documents","local_generated","2026-06-15","generated by project; must always mark is_synthetic=true","local JSONL/Markdown","enterprise_workflow_demo","false","true","do not present as real company/customer data","selected_as_synthetic"
"private_ligamd_logs","Private LiGaMD or lab logs","private_research_logs","local_opt_in_only","2026-06-15","private/local only; not for default demo or benchmark","manual opt-in connector only","optional_private_extension","true","false","do not use in public demo benchmark or resume metrics","opt_in_only"

